taskid,开始时间,结束时间,园区名称,行驶里程,闭环里程,hdmap,msg,vis,iso,任务类型
ARCF1068_20230728064038,1690497639.0,1690502400.0,WuHanJingKaiQuKaiChengLuWang,27.8858690977,0.0,null,null,null,5.4.12.16,6
ARCF1068_20230728080000,1690502400.0,1690509600.0,WuHanJingKaiQuKaiChengLuWang,40.3289622533,0.0,null,null,null,5.4.12.16,6
ARCF1068_20230728100000,1690509600.0,1690516800.0,WuHanJingKaiQuKaiChengLuWang,50.9352342059,0.0,null,null,null,5.4.12.16,6
ARCF1068_20230728120000,1690516800.0,1690519542.0,WuHanJingKaiQuKaiChengLuWang,26.5675794638,0.0,null,null,null,5.4.12.16,6
ARCF1068_20230728142605,1690525566.0,1690525991.0,WuHanJingKaiQuKaiChengLuWang,2.71026041814,0.0,null,null,null,5.4.12.16,6
ARCF1068_20230728143852,1690526333.0,1690531200.0,WuHanJingKaiQuKaiChengLuWang,19.7212008475,19.3227427703,null,null,null,5.4.12.16,6
ARCF1068_20230728160000,1690531200.0,1690538400.0,WuHanJingKaiQuKaiChengLuWang,33.5078328524,22.3679460703,null,null,null,5.4.12.16,6
ARCF1068_20230728180000,1690538400.0,1690545374.0,WuHanJingKaiQuKaiChengLuWang,44.4422735839,32.6950498134,null,null,null,5.4.12.16,6
ARCF1068_20230728212848,1690550929.0,1690552800.0,WuHanJingKaiQuKaiChengLuWang,0.00719420658101,0.0,null,null,null,5.4.12.16,6
ARCF1068_20230728220000,1690552800.0,1690556023.0,WuHanJingKaiQuKaiChengLuWang,3.47901924997,0.0,null,null,null,5.4.12.16,6
ARCF1068_20230731064548,1690757149.0,1690761600.0,WuHanJingKaiQuKaiChengLuWang,26.117917603,0.0,null,null,null,5.4.12.17,6
ARCF1068_20230731080000,1690761600.0,1690768800.0,WuHanJingKaiQuKaiChengLuWang,41.0281384817,0.0,null,null,null,5.4.12.17,6
ARCF1068_20230731100000,1690768800.0,1690773310.0,WuHanJingKaiQuKaiChengLuWang,41.4860992677,0.0,null,null,null,5.4.12.17,6
ARCF1068_20230731141311,1690783991.0,1690785479.0,WuHanJingKaiQuKaiChengLuWang,3.44672326568,0.0,null,null,null,5.4.12.17,6
ARCF1068_20230731145737,1690786658.0,1690790400.0,WuHanJingKaiQuKaiChengLuWang,27.7229657727,20.2695967927,null,null,null,5.4.12.17,6
ARCF1068_20230731160000,1690790400.0,1690797600.0,WuHanJingKaiQuKaiChengLuWang,39.3169122344,38.6508629869,null,null,null,5.4.12.17,6
ARCF1068_20230731180000,1690797600.0,1690800119.0,WuHanJingKaiQuKaiChengLuWang,17.0564492717,13.5133190203,null,null,null,5.4.12.17,6
ARCF1068_20230731190731,1690801651.0,1690804859.0,WuHanJingKaiQuKaiChengLuWang,15.540918376,12.0130904768,null,null,null,5.4.12.17,6
ARCF1068_20230731200000,1690804800.0,1690812000.0,WuHanJingKaiQuKaiChengLuWang,45.4744338586,40.8437371138,null,null,null,5.4.12.17,6
ARCF1068_20230731220000,1690812000.0,1690812633.0,WuHanJingKaiQuKaiChengLuWang,4.42187544059,0.0795998365655,null,null,null,5.4.12.17,6
ARCF1068_20230731230235,1690815756.0,1690816443.0,WuHanJingKaiQuKaiChengLuWang,0.00442221898782,0.0,null,null,null,5.4.12.17,6
ARCF1054_20230802084150,1690936911.0,1690941600.0,WuHanJingKaiQuKaiChengLuWang,8.48390953085,4.73615474616,null,null,null,5.4.14.12,8
ARCF1054_20230802100000,1690941600.0,1690947611.0,WuHanJingKaiQuKaiChengLuWang,51.5245156639,24.8582388694,null,null,null,5.4.14.12,8
ARCF1054_20230802140126,1690956087.0,1690963200.0,WuHanJingKaiQuKaiChengLuWang,60.6970641894,45.0744710808,null,null,null,5.4.14.12,8
ARCF1054_20230802160000,1690963200.0,1690964458.0,WuHanJingKaiQuKaiChengLuWang,3.94012135233,0.0,null,null,null,5.4.14.12,8
ARCF1068_20230804083746,1691109467.0,1691114399.0,WuHanJingKaiQuKaiChengLuWang,23.5228132344,0.0,null,null,null,5.4.14.12,0
ARCF1068_20230804100000,1691114400.0,1691121600.0,WuHanJingKaiQuKaiChengLuWang,45.4146833869,0.0,null,null,null,5.4.14.12,0
ARCF1068_20230804120000,1691121600.0,1691123871.0,WuHanJingKaiQuKaiChengLuWang,15.6316972483,0.0,null,null,null,5.4.14.12,0
ARCF1068_20230804142746,1691130467.0,1691131315.0,WuHanJingKaiQuKaiChengLuWang,3.61384750902,0.0,null,null,null,5.4.14.12,0
ARCF1068_20230807083942,1691368783.0,1691373600.0,WuHanJingKaiQuKaiChengLuWang,23.1184767903,0.0,null,null,null,5.4.14.12,0
ARCF1068_20230807100000,1691373600.0,1691380800.0,WuHanJingKaiQuKaiChengLuWang,35.1841375452,0.0,null,null,null,5.4.14.12,0
ARCF1068_20230807120000,1691380800.0,1691384628.0,WuHanJingKaiQuKaiChengLuWang,38.7020678331,0.0,null,null,null,5.4.14.12,0
ARCF1068_20230807160136,1691395297.0,1691397601.0,WuHanJingKaiQuKaiChengLuWang,3.66378362517,0.0,null,null,null,5.4.14.12,0
ARCF219_20230809013957,1691516397.0,1691516459.0,YiZhuangDaLuWang,0.0,0.0,null,null,null,5.4.14.13,16
