taskid,开始时间,结束时间,园区名称,行驶里程,闭环里程,hdmap,msg,,iso,任务类型
ARCF1068_20230728064038,1690497639,1690502400,WuHanJingKaiQuKaiChengLuWang,27.8858691,0,null,null,1,5.4.12.16,6
ARCF1068_20230728080000,1690502400,1690509600,WuHanJingKaiQuKaiChengLuWang,40.32896225,0,null,null,1,5.4.12.16,6
ARCF1068_20230728100000,1690509600,1690516800,WuHanJingKaiQuKaiChengLuWang,50.93523421,0,null,null,1,5.4.12.16,6
ARCF1068_20230728120000,1690516800,1690519542,WuHanJingKaiQuKaiChengLuWang,26.56757946,0,null,null,1,5.4.12.16,6
ARCF1068_20230728142605,1690525566,1690525991,WuHanJingKaiQuKaiChengLuWang,2.710260418,0,null,null,1,5.4.12.16,6
ARCF1068_20230728143852,1690526333,1690531200,WuHanJingKaiQuKaiChengLuWang,19.72120085,19.32274277,null,null,1,5.4.12.16,6
ARCF1068_20230728160000,1690531200,1690538400,WuHanJingKaiQuKaiChengLuWang,33.50783285,22.36794607,null,null,1,5.4.12.16,6
ARCF1068_20230731064548,1690757149,1690761600,WuHanJingKaiQuKaiChengLuWang,26.1179176,0,null,null,1,5.4.12.17,6
ARCF1068_20230731080000,1690761600,1690768800,WuHanJingKaiQuKaiChengLuWang,41.02813848,0,null,null,1,5.4.12.17,6
ARCF1068_20230731100000,1690768800,1690773310,WuHanJingKaiQuKaiChengLuWang,41.48609927,0,null,null,1,5.4.12.17,6
ARCF1068_20230731141311,1690783991,1690785479,WuHanJingKaiQuKaiChengLuWang,3.446723266,0,null,null,1,5.4.12.17,6
ARCF1068_20230731145737,1690786658,1690790400,WuHanJingKaiQuKaiChengLuWang,27.72296577,20.26959679,null,null,1,5.4.12.17,6
ARCF1068_20230731160000,1690790400,1690797600,WuHanJingKaiQuKaiChengLuWang,39.31691223,38.65086299,null,null,1,5.4.12.17,6
ARCF1054_20230802084150,1690936911,1690941600,WuHanJingKaiQuKaiChengLuWang,8.483909531,4.736154746,null,null,1,5.4.14.12,8
ARCF1054_20230802100000,1690941600,1690947611,WuHanJingKaiQuKaiChengLuWang,51.52451566,24.85823887,null,null,1,5.4.14.12,8
ARCF1054_20230802140126,1690956087,1690963200,WuHanJingKaiQuKaiChengLuWang,60.69706419,45.07447108,null,null,1,5.4.14.12,8
ARCF1054_20230802160000,1690963200,1690964458,WuHanJingKaiQuKaiChengLuWang,3.940121352,0,null,null,1,5.4.14.12,8
ARCF1068_20230804083746,1691109467,1691114399,WuHanJingKaiQuKaiChengLuWang,23.52281323,0,null,null,1,5.4.14.12,0
ARCF1068_20230804100000,1691114400,1691121600,WuHanJingKaiQuKaiChengLuWang,45.41468339,0,null,null,1,5.4.14.12,0
ARCF1068_20230804120000,1691121600,1691123871,WuHanJingKaiQuKaiChengLuWang,15.63169725,0,null,null,1,5.4.14.12,0
ARCF1068_20230804142746,1691130467,1691131315,WuHanJingKaiQuKaiChengLuWang,3.613847509,0,null,null,1,5.4.14.12,0
ARCF1068_20230807083942,1691368783,1691373600,WuHanJingKaiQuKaiChengLuWang,23.11847679,0,null,null,1,5.4.14.12,0
