taskid,开始时间,结束时间,园区名称,行驶里程,闭环里程,hdmap,msg,vis,iso,任务类型
ARCF1068_20230728064038,1690497639.0,1690502400.0,WuHanJingKaiQuKaiChengLuWang,27.8858690977,0.0,null,null,null,5.4.12.16,6
ARCF1068_20230728080000,1690502400.0,1690509600.0,WuHanJingKaiQuKaiChengLuWang,40.3289622533,0.0,null,null,null,5.4.12.16,6
ARCF1068_20230728100000,1690509600.0,1690516800.0,WuHanJingKaiQuKaiChengLuWang,50.9352342059,0.0,null,null,null,5.4.12.16,6
ARCF1068_20230728120000,1690516800.0,1690519542.0,WuHanJingKaiQuKaiChengLuWang,26.5675794638,0.0,null,null,null,5.4.12.16,6
ARCF1068_20230728142605,1690525566.0,1690525991.0,WuHanJingKaiQuKaiChengLuWang,2.71026041814,0.0,null,null,null,5.4.12.16,6
ARCF1068_20230728143852,1690526333.0,1690531200.0,WuHanJingKaiQuKaiChengLuWang,19.7212008475,19.3227427703,null,null,null,5.4.12.16,6
ARCF1068_20230728160000,1690531200.0,1690538400.0,WuHanJingKaiQuKaiChengLuWang,33.5078328524,22.3679460703,null,null,null,5.4.12.16,6
ARCF1068_20230728180000,1690538400.0,1690545374.0,WuHanJingKaiQuKaiChengLuWang,44.4422735839,32.6950498134,null,null,null,5.4.12.16,6
ARCF1068_20230728212848,1690550929.0,1690552800.0,WuHanJingKaiQuKaiChengLuWang,0.00719420658101,0.0,null,null,null,5.4.12.16,6
ARCF1068_20230728220000,1690552800.0,1690556023.0,WuHanJingKaiQuKaiChengLuWang,3.47901924997,0.0,null,null,null,5.4.12.16,6
