s1,ÊÇ·ñ´æÔÚ
11228154,1
11225532,1
11221615,1
11195623,1
11189756,1
11173943,1
11156133,1
11155717,1
11155653,1
11155631,1
11155611,1
11122912,1
11110788,0
11091569,0
11088438,1
11082320,1
11082203,0
11061060,1
11057145,1
11054428,1
11048527,0
11021834,0
11010057,1
10996651,1
10981100,0
10967792,1
10964414,1
10928904,0
10910935,1
10883652,1
10835192,1
10830217,1
10827947,0
10827470,1
10804956,1
10803137,1
10800318,1
10759589,1
10758965,0
10749294,1
10747531,1
10747305,1
10731509,1
10715826,0
10705048,1
10705022,1
10687563,0
10661544,1
10645031,1
10642078,1
10615523,1
10610203,1
10593197,1
10586801,1
10586768,1
10586621,0
10581193,0
10673596,1
10554069,1
10551585,0
10527972,1
10524498,1
10524240,1
10544104,1
10487187,1
10476808,1
10465079,1
10459763,1
10457192,1
10452543,1
10435957,1
10434174,1
10430258,1
10428785,1
10405864,0
10383858,1
10378792,1
10366284,1
10356871,1
10356494,0
10352911,0
10347679,1
10337491,1
10337050,0
10326086,1
10324950,1
10323152,0
10312764,1
10307600,1
10290097,1
10283764,0
10264123,1
10229303,1
10229213,0
10224960,1
10208838,1
10207197,1
10206326,1
10204047,1
10202965,0
10184348,1
10179569,1
10148891,1
